taxonUUID,taxonRank,parentUUID,kingdom,simplifiedScientificName,variety,form,cultigen,nomenclaturalCode,reason,groupID,number_of_occurrence,TT_URL
0d710e9d-a114-48fc-bc1c-e23047efa39a,species,ae3ad54b-b4e5-4ca3-a813-7fc997c0f610,Plantae,Gloriosa superba,"","","",ICN,種與種下命名法規不同,0d710e9d-a114-48fc-bc1c-e23047efa39a,10,https://taxatree.tbn.org.tw/taxa/0d710e9d-a114-48fc-bc1c-e23047efa39a
9591ead2-8052-4758-99b9-3f801db24ef9,infraspecies,0d710e9d-a114-48fc-bc1c-e23047efa39a,Plantae,Gloriosa superba Greenii,"","","",ICNCP,種與種下命名法規不同,0d710e9d-a114-48fc-bc1c-e23047efa39a,0,https://taxatree.tbn.org.tw/taxa/9591ead2-8052-4758-99b9-3f801db24ef9
0f050dd6-3cb9-4ecb-9e72-af8dc684b31b,species,c6558e6b-f82c-4369-9014-fef8b8e642e8,Protozoa,Cribraria cancellata,"","","",三名法、二名法,種與種下命名法規不同,0f050dd6-3cb9-4ecb-9e72-af8dc684b31b,3,https://taxatree.tbn.org.tw/taxa/0f050dd6-3cb9-4ecb-9e72-af8dc684b31b
cff0f6de-de82-47a2-847c-952ac6481257,infraspecies,0f050dd6-3cb9-4ecb-9e72-af8dc684b31b,Protozoa,Cribraria cancellata fuscum,"","","",ICN,種與種下命名法規不同,0f050dd6-3cb9-4ecb-9e72-af8dc684b31b,0,https://taxatree.tbn.org.tw/taxa/cff0f6de-de82-47a2-847c-952ac6481257
4b36213a-e1b7-4f97-b760-607f4896c9a3,species,af2e5175-3f53-4745-abf0-d0e66880a01e,Protozoa,Tripos pentagonus,"","","",三名法、二名法,種與種下命名法規不同,4b36213a-e1b7-4f97-b760-607f4896c9a3,5,https://taxatree.tbn.org.tw/taxa/4b36213a-e1b7-4f97-b760-607f4896c9a3
e9826bc2-50fe-4b22-a36a-ece91ab6226d,infraspecies,4b36213a-e1b7-4f97-b760-607f4896c9a3,Protozoa,Tripos pentagonus longisetum,"","","",ICN,種與種下命名法規不同,4b36213a-e1b7-4f97-b760-607f4896c9a3,0,https://taxatree.tbn.org.tw/taxa/e9826bc2-50fe-4b22-a36a-ece91ab6226d
c35b5d43-15c1-4449-8fc7-c4dbc1efec44,species,af2e5175-3f53-4745-abf0-d0e66880a01e,Protozoa,Tripos symmetricus,"","","",三名法、二名法,種與種下命名法規不同,c35b5d43-15c1-4449-8fc7-c4dbc1efec44,0,https://taxatree.tbn.org.tw/taxa/c35b5d43-15c1-4449-8fc7-c4dbc1efec44
28d14191-5166-469b-a2bd-8696bde93af2,infraspecies,c35b5d43-15c1-4449-8fc7-c4dbc1efec44,Protozoa,Tripos symmetricus coarctatum,"","","",ICN,種與種下命名法規不同,c35b5d43-15c1-4449-8fc7-c4dbc1efec44,0,https://taxatree.tbn.org.tw/taxa/28d14191-5166-469b-a2bd-8696bde93af2
c3bd0261-e9fd-4afb-8792-5c4c2d6f8948,species,8f76c006-5907-4998-b59d-b64245f3fb20,Protozoa,Physarum album,"","","",三名法、二名法,種與種下命名法規不同,c3bd0261-e9fd-4afb-8792-5c4c2d6f8948,3,https://taxatree.tbn.org.tw/taxa/c3bd0261-e9fd-4afb-8792-5c4c2d6f8948
2b307b10-f67e-4a13-8a7d-490f136ed586,infraspecies,c3bd0261-e9fd-4afb-8792-5c4c2d6f8948,Protozoa,Physarum album rubrum,"","","",ICN,種與種下命名法規不同,c3bd0261-e9fd-4afb-8792-5c4c2d6f8948,0,https://taxatree.tbn.org.tw/taxa/2b307b10-f67e-4a13-8a7d-490f136ed586
db7f52f4-ccef-48e4-ae69-ef0d2565d1f4,species,07aaa509-21a0-4ecc-9911-9f2f442582e4,Plantae,Aechmea ×hybrida,"","","",ICN,種與種下命名法規不同,db7f52f4-ccef-48e4-ae69-ef0d2565d1f4,0,https://taxatree.tbn.org.tw/taxa/db7f52f4-ccef-48e4-ae69-ef0d2565d1f4
885353db-4aa8-4b4f-87e8-1cd9b3006519,infraspecies,db7f52f4-ccef-48e4-ae69-ef0d2565d1f4,Plantae,Aechmea ×hybrida Array,"","","",ICNCP,種與種下命名法規不同,db7f52f4-ccef-48e4-ae69-ef0d2565d1f4,0,https://taxatree.tbn.org.tw/taxa/885353db-4aa8-4b4f-87e8-1cd9b3006519
