TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName,TC_taxon_id,TC_taxon_status,TC_is_in_taiwan
1fac4bd1-a247-4d55-9ca7-fb5c9e618208,class,Animalia,t0000723,Trematoda,t0002899,deleted,TRUE
810b4a50-36c5-4cfa-8426-f7fd1bc7ff81,family,Animalia,"",Lorisidae,t0107454,accepted,FALSE
26464dbe-41ae-4663-86dc-8314a93861d0,genus,Animalia,"",Ovis,t0107125,accepted,FALSE
c198e721-573e-4551-b5f8-0c1f89eb51b6,genus,Animalia,"",Panthera,t0091712,accepted,TRUE
ee3aa6e0-e276-4a70-993d-b118cff258e0,genus,Animalia,"",Helarctos,t0107162,accepted,FALSE
f6e5eb70-cb8c-46d2-af39-1604970ecc97,genus,Animalia,"",Vulpes,t0107147,accepted,FALSE
2795de51-afc8-4145-9792-91b47a996f3a,species,Animalia,"",Ovis aries,t0107386,accepted,FALSE
de68e296-4017-4e86-8975-6b921cdf2f39,species,Animalia,"",Helarctos malayanus,t0121859,accepted,FALSE
6068734b-980b-45e7-a8da-cfd8674b3921,species,Animalia,"",Vulpes vulpes,t0123664,accepted,FALSE
80ee2f37-ca69-4cda-94c2-0c6b8b5ebf04,species,Animalia,"",Panthera pardus,t0097046,accepted,TRUE
ae00bc13-6d1c-4fc7-a9ee-cb4554472885,species,Animalia,"",Panthera tigris,t0121842,accepted,FALSE
911e3b0f-cbd0-4d95-9509-eb2e063de7ea,species,Animalia,t0085439,Anarhynchus mongolus,t0097638,accepted,TRUE
